央视频道,#genre#
凤凰卫视中文台,http://113.25.105.43:10000/rtp/239.1.1.126:8126$山西电信
凤凰卫视资讯台,http://113.25.105.43:10000/rtp/239.1.1.127:8127$山西电信
金鹰纪实,http://113.120.108.132:4000/rtp/239.21.1.170:5002$山东电信_result_ip
金鹰纪实,http://117.64.244.75:6688/rtp/238.1.79.9:4184$安徽电信_result_ip
金鹰纪实,http://113.25.105.43:10000/rtp/239.1.1.63:8063$山西电信
纪实科教,http://113.120.108.132:4000/rtp/239.21.1.172:5002$山东电信_result_ip
快乐垂钓,http://117.64.244.75:6688/rtp/238.1.79.31:4360$安徽电信_result_ip
快乐垂钓,http://113.25.105.43:10000/rtp/239.1.1.86:8086$山西电信
茶频道,http://117.64.244.75:6688/rtp/238.1.79.30:4352$安徽电信_result_ip
茶频道,http://113.25.105.43:10000/rtp/239.1.1.77:8077$山西电信
乐游,http://117.64.244.75:6688/rtp/238.1.78.151:7080$安徽电信_result_ip
乐游,http://113.25.105.43:10000/rtp/239.1.1.84:8084$山西电信
生活时尚,http://117.64.244.75:6688/rtp/238.1.78.155:7112$安徽电信_result_ip
生活时尚,http://113.25.105.43:10000/rtp/239.1.1.76:8076$山西电信
都市剧场,http://117.64.244.75:6688/rtp/238.1.78.74:6464$安徽电信_result_ip
都市剧场,http://113.25.105.43:10000/rtp/239.1.1.81:8081$山西电信
游戏风云,http://117.64.244.75:6688/rtp/238.1.78.81:6520$安徽电信_result_ip
游戏风云,http://113.25.105.43:10000/rtp/239.1.1.83:8083$山西电信
金色学堂,http://117.64.244.75:6688/rtp/238.1.78.76:6480$安徽电信_result_ip
金色学堂,http://113.25.105.43:10000/rtp/239.1.1.82:8082$山西电信
动漫秀场,http://117.64.244.75:6688/rtp/238.1.78.154:7104$安徽电信_result_ip
动漫秀场,http://113.25.105.43:10000/rtp/239.1.1.80:8080$山西电信
卡酷少儿,http://117.64.244.75:6688/rtp/238.1.78.97:6648$安徽电信_result_ip
金鹰卡通,http://117.64.244.75:6688/rtp/238.1.78.100:6672$安徽电信_result_ip
中国交通,http://113.120.108.132:4000/rtp/239.21.1.115:5002$山东电信_result_ip

湖南频道,#genre#
湖南卫视,http://113.120.108.132:4000/rtp/239.21.1.158:5002$山东电信_result_ip
湖南卫视,http://117.64.244.75:6688/rtp/238.1.78.160:7152$安徽电信_result_ip

